description,vch_type,proposed_family,proposed_canonical_id,transaction_support,dominant_source_category_id,distinct_source_category_ids,source_category_purity,review_status,approved,evidence_note,risk_level,possible_synonym,synonym_review_note
karhi with 2 roti,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kari pakora roti,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
karnal breakfast,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kashe home dinner,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kashi dinner,Expense,Dining,2001,1,16,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kashif food singaporian rice,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kebab inn beef burger,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kebabish dinner and nashta,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc 2,Expense,Dining,2001,1,23,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc abbottabad,Expense,Dining,2001,1,7,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc alia,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc and mcdonalds,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc at office,Expense,Dining,2001,1,20,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc burger for muhammad,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc chicken bucket,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc chicken chips,Expense,Dining,2001,1,13,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc deal,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc deal get home,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc delivery,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc dinner for home,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc dinner multan train,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc food delivery,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc for ami abu,Expense,Dining,2001,1,617,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc for guests,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc fortress lhr,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc golootlo deal,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc home,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc hotshots for tanya,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc jav chai khana,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc lahore wapsi,Expense,Dining,2001,1,51,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc late night,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc mabs,Expense,Dining,2001,1,617,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc mama,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc mom,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc murree,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc north nazimabad,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc office,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc okara,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc pizza hut,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc pop corn,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc safa,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc shadra sabeen abu,Expense,Dining,2001,1,19,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc sharwma,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc take away,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc tea,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc tower,Expense,Dining,2001,1,51,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc treat,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc w huma,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc w ibaddies,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc wings with mehak,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc with matric fellows,Expense,Dining,2001,1,31,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc with nomi bhai and noor,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc with salman,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kfc with wife,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
khaas biryani,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
khalid bakery breakfast items,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
khameeri roti,Expense,Dining,2001,1,603,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
khamiri roti for dawat,Expense,Dining,2001,1,24,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
khan restaurant previous power supply 12v 15amp total paid due,Income,Dining,2001,1,71,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
khana at melody food street,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kids dinner,Expense,Dining,2001,1,27,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kids junk food,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kids lunch,Expense,Dining,2001,1,27,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kimchi chijage n lassi korean lunch,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kn ns frozen food,Expense,Dining,2001,1,603,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kolachi biryani,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kuchis burger,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kuk nuk lazania pizza,Expense,Dining,2001,1,21,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
kulfi s and biryani,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
la montana dinner,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
labbaik dinner,Expense,Dining,2001,1,40,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
labour and amm breakfast,Expense,Dining,2001,1,627,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
labour food at tandour,Expense,Dining,2001,1,627,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lahore dinner,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lahore food,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lahori breakfast thali at chattas f10,Expense,Dining,2001,1,35,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lamb burger,Expense,Dining,2001,1,626,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lamosh burger,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lasani biryani,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
last month food outing with sss at paramount,Expense,Dining,2001,1,42,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
last month lunch fees,Expense,Dining,2001,1,56,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
late night dinner,Expense,Dining,2001,1,54,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
late night dinner white karahi,Expense,Dining,2001,1,605,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
late night dinner with ruba,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
late night food,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lemon pizza etc,Expense,Dining,2001,1,7,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
liberty books and food fml,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
loader food exp at lala musa,Expense,Dining,2001,1,27,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
loan installment to wife balanced in mobile and dinner,Expense,Dining,2001,1,614,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
local street food,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lonavala villa travelling food,Expense,Dining,2001,1,19,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lucky one food,Expense,Dining,2001,1,13,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch 12j,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch 13j,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch 2 days,Expense,Dining,2001,1,7,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch 6 july,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch 7 8 may,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch 8 july,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch akshyardham,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch akuh,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch ali salman me,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch allah wali biryani,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch amber,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and breakfast,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and cold drink office,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and dinner,Transfer,Dining,2001,1,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and dinner for home,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and drink,Expense,Dining,2001,1,36,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and faluda,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and farewell smoke,Expense,Dining,2001,1,38,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and juice with dildar,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and lassi,Expense,Dining,2001,1,21,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and nashta,Expense,Dining,2001,1,45,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and roti,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and tea,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and tea bags,Expense,Dining,2001,1,600,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch and tea for thatta,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch arrears,Expense,Dining,2001,1,23,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at allah malik,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at amanah,Expense,Dining,2001,1,13,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at boom boom f10,Expense,Dining,2001,1,35,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at bundu khan wpasi chaplet,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at butt,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at butt karhahi,Expense,Dining,2001,1,7,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at cafe imran,Expense,Dining,2001,1,13,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at call with juniors,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at college day 1,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at condo site,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at dhe puttu ekm,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at dolmen,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at fetah jhang,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at firm amount accounted for in pool,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at flat,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at home,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at home biryani,Expense,Dining,2001,1,600,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at home singaporean rice,Expense,Dining,2001,1,600,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at hotel,Expense,Dining,2001,1,3,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at kandhkot,Expense,Dining,2001,1,25,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at khan biryani friday,Expense,Dining,2001,1,13,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at lords,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at maestro,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at malik tea and juice in evening,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at morgah,Expense,Dining,2001,1,25,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at muhammadi nehai,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at nando s,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at naran,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at noshakh,Expense,Dining,2001,1,13,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at ofc nehari,Expense,Dining,2001,1,7,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at plant,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at pstu,Expense,Dining,2001,1,34,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at savour food,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at shikarpur,Expense,Dining,2001,1,25,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at silver spoon and broast at dinner,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at spice one,Expense,Dining,2001,1,600,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at tjm,Expense,Dining,2001,1,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at tmfb,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at tmfb amount credited to team pool,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
lunch at uni,Expense,Dining,2001,1,6,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,WEAK_CANDIDATE,,
