description,vch_type,proposed_family,proposed_canonical_id,transaction_support,dominant_source_category_id,distinct_source_category_ids,source_category_purity,review_status,approved,evidence_note,risk_level,possible_synonym,synonym_review_note
online deposit,Income,Income,2008,57,501,2,0.9474,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
local eggs,Expense,Groceries,2009,10,626,2,0.8,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
kfc foodpanda,Expense,Dining,2001,9,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
pizza,Transfer,Dining,2001,9,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
benzine,Expense,Fuel,2002,9,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
buy medicine,Expense,Healthcare,2005,9,28,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
for taxi,Transfer,Transport,2003,9,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
uber ho home,Expense,Transport,2003,9,21,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
gas bill,Transfer,Utilities,2004,9,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
alam for food,Expense,Dining,2001,8,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
pizza dhoodh gas,Transfer,Dining,2001,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
pizza plus khana,Transfer,Dining,2001,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
fuel cg,Expense,Fuel,2002,8,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
fruits,Transfer,Groceries,2009,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
atm transfer,Transfer,Transfers,2007,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
cash deposits,Transfer,Transfers,2007,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
funds transfer,Transfer,Transfers,2007,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
online transfer,Transfer,Transfers,2007,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
transfer to esewa,Transfer,Transfers,2007,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
lyari toll,Expense,Transport,2003,8,52,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
parking,Transfer,Transport,2003,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
toll and parking,Expense,Transport,2003,8,25,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
ptcl bill,Transfer,Utilities,2004,8,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
fuel refill,Expense,Fuel,2002,8,14,2,0.875,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
milk and eggs,Expense,Groceries,2009,8,603,2,0.875,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
for mcdonald s,Transfer,Dining,2001,7,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
mira fuel,Expense,Fuel,2002,7,602,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
petrol thru card,Expense,Fuel,2002,7,34,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
doodh rotian,Transfer,Groceries,2009,7,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
rotian bread,Transfer,Groceries,2009,7,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
careem earning corolla,Income,Transport,2003,7,66,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
rickshaw to shuttl stand,Expense,Transport,2003,7,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
bajra,Expense,Groceries,2009,7,19,2,0.8571,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
coles grocery,Expense,Groceries,2009,7,83,2,0.8571,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
milk bottle,Expense,Groceries,2009,7,6,2,0.8571,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
chq deposit,Income,Income,2008,7,501,2,0.8571,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
breakfast,Transfer,Dining,2001,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
kfc,Transfer,Dining,2001,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
